y2_statefips,y2_countyfips,y1_statefips,y1_countyfips,y1_state,y1_countyname,n1,n2,agi
6,17,59,3,DS,Other flows - Midwest,142,229,36616
6,17,59,5,DS,Other flows - South,341,642,31090
6,17,59,7,DS,Other flows - West,427,664,32597
6,17,57,9,FR,Foreign - Other flows,-1,-1,-1
6,19,96,0,CA,Fresno County Total Migration-US and Foreign,12395,22123,734241
6,19,97,0,CA,Fresno County Total Migration-US,12359,22059,732206
6,19,97,1,CA,Fresno County Total Migration-Same State,8923,16079,547083
6,19,97,3,CA,Fresno County Total Migration-Different State,3436,5980,185122
6,19,98,0,CA,Fresno County Total Migration-Foreign,36,64,2036
6,19,6,19,CA,Fresno County Non-migrants,359818,773651,25709712
6,19,6,107,CA,Tulare County,1134,2114,67810
6,19,6,39,CA,Madera County,1124,2120,63149
6,19,6,37,CA,Los Angeles County,817,1487,49176
6,19,6,31,CA,Kings County,546,1034,30461
6,19,6,85,CA,Santa Clara County,532,952,44031
6,19,6,67,CA,Sacramento County,397,669,23356
6,19,6,29,CA,Kern County,379,672,24447
6,19,6,47,CA,Merced County,367,689,18875
6,19,6,1,CA,Alameda County,337,570,27241
6,19,6,73,CA,San Diego County,307,572,20761
6,19,6,77,CA,San Joaquin County,288,518,20038
6,19,6,59,CA,Orange County,275,492,17402
6,19,6,53,CA,Monterey County,271,471,14525
6,19,6,65,CA,Riverside County,218,403,11723
6,19,6,99,CA,Stanislaus County,217,387,11173
6,19,6,71,CA,San Bernardino County,191,361,9227
6,19,6,13,CA,Contra Costa County,179,317,10531
6,19,6,79,CA,San Luis Obispo County,169,268,14921
6,19,32,3,NV,Clark County,159,287,6876
6,19,36,81,NY,Queens County,156,176,6631
6,19,4,13,AZ,Maricopa County,140,243,8093
6,19,6,83,CA,Santa Barbara County,120,218,6061
6,19,6,81,CA,San Mateo County,111,176,8603
6,19,6,111,CA,Ventura County,100,188,5527
6,19,6,75,CA,San Francisco County,92,146,6317
6,19,53,33,WA,King County,85,145,7899
6,19,6,87,CA,Santa Cruz County,74,136,4073
6,19,6,97,CA,Sonoma County,73,102,2923
6,19,6,95,CA,Solano County,71,125,3935
6,19,6,61,CA,Placer County,62,108,5446
6,19,32,31,NV,Washoe County,51,97,3176
6,19,6,113,CA,Yolo County,49,69,2112
6,19,15,3,HI,Honolulu County,41,69,2505
6,19,48,113,TX,Dallas County,38,59,1463
6,19,6,69,CA,San Benito County,37,75,2636
6,19,53,53,WA,Pierce County,36,65,2058
6,19,57,5,FR,Foreign - APO/FPO ZIPs,36,64,2036
6,19,17,31,IL,Cook County,35,52,3812
6,19,48,201,TX,Harris County,35,60,1653
6,19,6,43,CA,Mariposa County,33,60,1331
6,19,41,51,OR,Multnomah County,31,52,1703
6,19,6,25,CA,Imperial County,30,57,1129
6,19,49,35,UT,Salt Lake County,30,69,1576
6,19,40,143,OK,Tulsa County,29,60,1055
6,19,6,23,CA,Humboldt County,28,34,793
6,19,4,27,AZ,Yuma County,27,58,934
