0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
02/01/2022 00:00:00,716010,7,5,S,ML,0.6,0,0,150.0,0.0064,65.1,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0045,70.6,47.0,0.007,67.0,39.0,0.0073,63.6,33.0,0.0067,59.2,,,,,,,,,,,,
02/01/2022 00:00:00,716011,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716012,7,5,N,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716013,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716014,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716015,7,5,N,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716016,7,5,S,ML,0.65,0,0,150.0,0.0064,65.1,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0045,70.6,47.0,0.007,67.0,39.0,0.0073,63.6,33.0,0.0067,59.2,,,,,,,,,,,,
02/01/2022 00:00:00,716017,7,5,N,ML,0.53,0,0,150.0,0.0064,65.1,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0045,70.6,47.0,0.007,67.0,39.0,0.0073,63.6,33.0,0.0067,59.2,,,,,,,,,,,,
02/01/2022 00:00:00,716018,7,5,S,OR,,120,100,31.0,0.0025,,,,,,,,31.0,0.0025,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716019,7,5,N,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716020,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716021,7,5,N,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716023,7,5,N,ML,5.0,0,0,1329.0,0.0528,64.3,0.0,0.0,0.0,0.0,0.0,0.4,287.0,0.0471,69.8,397.0,0.0531,66.4,350.0,0.0569,61.8,295.0,0.0541,59.1,,,,,,,,,,,,
02/01/2022 00:00:00,716025,7,5,N,OR,,120,100,3.0,0.0012,,,,,,,,3.0,0.0012,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716026,7,210,E,HV,0.8,114,100,37.0,0.002,64.9,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.002,64.9,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716028,7,10,E,ML,0.291,341,100,719.0,0.0136,69.2,0.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0115,71.8,348.0,0.0186,70.0,134.0,0.0108,62.4,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716029,7,10,W,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716030,7,10,E,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716032,7,10,W,ML,0.38,0,0,1567.0,0.0371,64.5,0.0,0.0,0.0,0.0,0.0,0.0,382.0,0.0323,69.7,452.0,0.0378,66.4,388.0,0.0403,61.9,345.0,0.0379,59.1,,,,,,,,,,,,
02/01/2022 00:00:00,716033,7,10,E,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716035,7,10,E,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716036,7,10,E,ML,0.38,0,0,2011.0,0.0378,67.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0344,73.4,494.0,0.0395,70.1,418.0,0.0408,65.4,361.0,0.0392,62.4,327.0,0.0352,61.2,,,,,,,,,
02/01/2022 00:00:00,716038,7,10,W,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716039,7,10,E,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716040,7,10,E,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716041,7,10,W,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716043,7,10,E,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
