SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
050,3,5,13,017,Georgia,Ben Hill County,17194,17168,17128,17057,17128,-26,-40,-71,71,51,201,206,211,64,324,291,273,-13,-123,-85,-62,0,4,4,4,-15,67,19,128,-15,71,23,132,2,12,-9,1,278,278,278,273,332,11.721483555,12.052069621,12.344595583,18.8943317,17.02501097,15.971917508,-7.172848146,-4.972941349,-3.627321925,0.2332633543,0.2340207693,0.2340207693,3.907161185,1.1115986544,7.488664619,4.1404245393,1.3456194237,7.7226853883
050,3,5,13,019,Georgia,Berrien County,18159,18144,18117,18215,18570,-15,-27,98,355,54,194,212,229,60,289,279,259,-6,-95,-67,-30,0,0,0,1,-13,55,161,387,-13,55,161,388,4,13,4,-3,150,125,136,136,136,10.700201318,11.670153033,12.450727199,15.939990624,15.358361775,14.081826832,-5.239789305,-3.688208742,-1.631099633,0,0,0.0543699878,3.0335622294,8.8627105582,21.041185266,3.0335622294,8.8627105582,21.095555254
050,3,5,13,021,Georgia,Bibb County,157347,157035,155980,156126,156512,-312,-1055,146,386,495,1933,1981,2060,476,2217,2180,1916,19,-284,-199,144,0,49,101,106,-360,-886,345,133,-360,-837,446,239,29,66,-101,3,6179,5956,5365,5284,5195,12.350845806,12.694405106,13.178180515,14.16545533,13.969612888,12.256987314,-1.814609524,-1.275207782,0.9211932011,0.3130840375,0.6472160099,0.6781005508,-5.661070556,2.2107873607,0.850824276,-5.347986518,2.8580033706,1.5289248268
050,3,5,13,023,Georgia,Bleckley County,12585,12523,12270,12279,12465,-62,-253,9,186,32,132,123,128,47,189,189,171,-15,-57,-66,-43,0,2,-2,-2,-39,-190,86,232,-39,-188,84,230,-8,-8,-9,-1,1188,1134,859,826,867,10.648166821,10.020774777,10.345942451,15.246238858,15.397775877,13.821532493,-4.598072036,-5.3770011,-3.475590042,0.1613358609,-0.162939427,-0.161655351,-15.32690679,7.0063953725,18.752020692,-15.16557093,6.8434559453,18.590365341
050,3,5,13,025,Georgia,Brantley County,18021,18044,18119,18210,18401,23,75,91,191,50,191,211,208,57,265,275,246,-7,-74,-64,-38,0,0,23,23,25,142,138,206,25,142,161,229,5,7,-6,0,58,58,63,59,64,10.563282913,11.616064301,11.362705198,14.655863728,15.139420298,13.438584032,-4.092580815,-3.523355997,-2.075878834,0,1.2662060613,1.2564529786,7.8533307524,7.5972363676,11.253448417,7.8533307524,8.8634424289,12.509901396
050,3,5,13,027,Georgia,Brooks County,16301,16272,16276,16284,16245,-29,4,8,-39,49,164,176,161,54,254,240,220,-5,-90,-64,-59,1,4,36,36,-27,85,43,-15,-26,89,79,21,2,5,-7,-1,386,386,386,417,415,10.077424112,10.810810811,9.8988594792,15.607717832,14.742014742,13.526391835,-5.53029372,-3.931203931,-3.627532356,0.245790832,2.2113022113,2.213409573,5.22305518,2.6412776413,-0.922253989,5.468846012,4.8525798526,1.2911555842
050,3,5,13,029,Georgia,Bryan County,44741,45043,46974,48218,49739,302,1931,1244,1521,141,577,611,628,82,362,372,340,59,215,239,288,4,2,30,62,240,1781,966,1172,244,1783,996,1234,-1,-67,9,-1,174,174,175,179,234,12.541160872,12.837213211,12.821952489,7.8681113273,7.8157828389,6.9418214114,4.6730495452,5.0214303723,5.8801310779,0.0434702283,0.6303050677,1.2658615515,38.710238326,20.295823178,23.928866748,38.753708554,20.926128246,25.194728299
050,3,5,13,031,Georgia,Bulloch County,79646,79922,80671,83038,84327,276,749,2367,1289,216,873,875,855,158,703,757,674,58,170,118,181,0,28,54,60,205,505,2085,1047,205,533,2139,1107,13,46,110,1,5839,5823,5421,6121,5986,10.872204891,10.689699406,10.217189974,8.75505159,9.2481170858,8.0542526813,2.1171533006,1.4415823198,2.1629372927,0.3487076024,0.6597071633,0.7169957876,6.289190687,25.472026584,12.511576494,6.6378982895,26.131733747,13.228572282
050,3,5,13,033,Georgia,Burke County,24594,24635,24362,24434,24438,41,-273,72,4,72,287,283,270,72,294,306,276,0,-7,-23,-6,0,1,3,3,36,-270,102,6,36,-269,105,9,5,3,-10,1,229,229,211,222,206,11.715002959,11.599311419,11.049271567,12.000734739,12.54201164,11.294810935,-0.285731779,-0.942700221,-0.245539368,0.0408188256,0.1229608984,0.1227696841,-11.02108292,4.1806705468,0.2455393681,-10.9802641,4.3036314452,0.3683090522
050,3,5,13,035,Georgia,Butts County,25436,25549,26164,26745,26887,113,615,581,142,71,272,280,293,95,334,364,343,-24,-62,-84,-50,0,10,21,22,147,695,614,170,147,705,635,192,-10,-28,30,0,2895,2895,3229,3137,2930,10.519598554,10.584210626,10.926312649,12.917448224,13.759473814,12.790871122,-2.39784967,-3.175263188,-1.864558473,0.3867499468,0.7938157969,0.8204057279,26.879121304,23.209661872,6.3394988067,27.265871251,24.003477669,7.1599045346
