"X","tournament_id","team_id","team_name","group_name","played","wins","draws","losses","goals_for","goals_against","goal_difference","points","advanced","confederation_code","region_name","year","prior_tournaments","squad_size","avg_age","forward_share","defender_share","avg_career_tournaments","avg_prior_wc","max_prior_wc","debutant_share","yellows","reds","total_cards","is_host","foreign_manager"
50,"WC-1962","T-86","West Germany","Group 2",3,2,1,0,4,1,3,5,1,"UEFA","Europe",1962,2,22,26,0.272727272727273,0.318181818181818,1.86363636363636,0.409090909090909,2,0.681818181818182,0,0,0,0,1
51,"WC-1962","T-13","Chile","Group 2",3,2,0,1,5,3,2,4,1,"CONMEBOL","South America",1962,2,22,25.9545454545455,0.363636363636364,0.363636363636364,1.40909090909091,0,0,1,0,0,0,1,0
52,"WC-1962","T-41","Italy","Group 2",3,1,1,1,3,2,1,3,0,"UEFA","Europe",1962,2,22,25.2272727272727,0.409090909090909,0.272727272727273,1.5,0.0454545454545455,1,0.954545454545455,0,0,0,0,0
53,"WC-1962","T-75","Switzerland","Group 2",3,0,0,3,2,8,-6,0,0,"UEFA","Europe",1962,2,22,28.7727272727273,0.363636363636364,0.318181818181818,1.54545454545455,0.318181818181818,2,0.772727272727273,0,0,0,0,1
54,"WC-1962","T-09","Brazil","Group 3",3,2,1,0,4,1,3,5,1,"CONMEBOL","South America",1962,4,22,28.1363636363636,0.363636363636364,0.363636363636364,2.31818181818182,0.954545454545455,3,0.363636363636364,0,0,0,0,0
55,"WC-1962","T-21","Czechoslovakia","Group 3",3,1,1,1,2,3,-1,3,1,"UEFA","Europe",1962,2,22,26.2727272727273,0.454545454545455,0.318181818181818,1.63636363636364,0.545454545454545,2,0.590909090909091,0,0,0,0,0
56,"WC-1962","T-46","Mexico","Group 3",3,1,0,2,3,4,-1,2,0,"CONCACAF","North America",1962,4,22,26.7142857142857,0.363636363636364,0.272727272727273,2,0.545454545454545,3,0.590909090909091,0,0,0,0,0
57,"WC-1962","T-73","Spain","Group 3",3,1,0,2,2,3,-1,2,0,"UEFA","Europe",1962,1,22,28.0909090909091,0.272727272727273,0.409090909090909,1.40909090909091,0.0909090909090909,1,0.909090909090909,0,0,0,0,1
58,"WC-1962","T-36","Hungary","Group 4",3,2,1,0,8,2,6,5,1,"UEFA","Europe",1962,2,22,25.5909090909091,0.409090909090909,0.272727272727273,2,0.454545454545455,2,0.590909090909091,0,0,0,0,0
59,"WC-1962","T-28","England","Group 4",3,1,1,1,4,3,1,3,1,"UEFA","Europe",1962,3,22,26.6363636363636,0.318181818181818,0.272727272727273,1.95454545454545,0.409090909090909,2,0.636363636363636,0,0,0,0,0
60,"WC-1962","T-03","Argentina","Group 4",3,1,1,1,2,3,-1,3,0,"CONMEBOL","South America",1962,2,22,25.9545454545455,0.363636363636364,0.363636363636364,1.31818181818182,0.0909090909090909,1,0.909090909090909,0,0,0,0,0
61,"WC-1962","T-10","Bulgaria","Group 4",3,0,1,2,1,7,-6,1,0,"UEFA","Europe",1962,0,22,25.3181818181818,0.409090909090909,0.227272727272727,1.63636363636364,0,0,1,0,0,0,0,0
62,"WC-1966","T-28","England","Group 1",3,2,1,0,4,0,4,5,1,"UEFA","Europe",1966,4,22,27.2272727272727,0.227272727272727,0.318181818181818,1.95454545454545,0.5,2,0.545454545454545,0,0,0,1,0
63,"WC-1966","T-84","Uruguay","Group 1",3,1,2,0,2,1,1,4,1,"CONMEBOL","South America",1966,4,22,26.5,0.227272727272727,0.363636363636364,1.90909090909091,0.454545454545455,1,0.545454545454545,0,0,0,0,0
64,"WC-1966","T-46","Mexico","Group 1",3,0,2,1,1,3,-2,2,0,"CONCACAF","North America",1966,5,22,25.6363636363636,0.318181818181818,0.272727272727273,1.90909090909091,0.545454545454545,4,0.681818181818182,0,0,0,0,0
65,"WC-1966","T-30","France","Group 1",3,0,1,2,2,5,-3,1,0,"UEFA","Europe",1966,3,22,26.2272727272727,0.272727272727273,0.363636363636364,1,0,0,1,0,0,0,0,0
66,"WC-1966","T-86","West Germany","Group 2",3,2,1,0,7,1,6,5,1,"UEFA","Europe",1966,3,22,25.5909090909091,0.318181818181818,0.363636363636364,2.27272727272727,0.363636363636364,2,0.727272727272727,0,0,0,0,1
67,"WC-1966","T-03","Argentina","Group 2",3,2,1,0,4,1,3,5,1,"CONMEBOL","South America",1966,3,22,26.6818181818182,0.318181818181818,0.181818181818182,1.36363636363636,0.318181818181818,1,0.681818181818182,0,0,0,0,0
68,"WC-1966","T-73","Spain","Group 2",3,1,0,2,4,5,-1,2,0,"UEFA","Europe",1966,2,22,26.8181818181818,0.227272727272727,0.272727272727273,1.36363636363636,0.318181818181818,1,0.681818181818182,0,0,0,0,0
69,"WC-1966","T-75","Switzerland","Group 2",3,0,0,3,1,9,-8,0,0,"UEFA","Europe",1966,3,22,27.3181818181818,0.227272727272727,0.272727272727273,1.22727272727273,0.227272727272727,1,0.772727272727273,0,0,0,0,1
70,"WC-1966","T-58","Portugal","Group 3",3,3,0,0,9,2,7,6,1,"UEFA","Europe",1966,0,22,27.5,0.227272727272727,0.272727272727273,1,0,0,1,0,0,0,0,1
71,"WC-1966","T-36","Hungary","Group 3",3,2,0,1,7,5,2,4,1,"UEFA","Europe",1966,3,22,26.5,0.363636363636364,0.272727272727273,1.72727272727273,0.727272727272727,2,0.454545454545455,0,0,0,0,0
72,"WC-1966","T-09","Brazil","Group 3",3,1,0,2,4,6,-2,2,0,"CONMEBOL","South America",1966,5,22,26.6818181818182,0.272727272727273,0.363636363636364,2.04545454545455,0.681818181818182,3,0.636363636363636,0,0,0,0,0
73,"WC-1966","T-10","Bulgaria","Group 3",3,0,0,3,1,8,-7,0,0,"UEFA","Europe",1966,1,22,26.7727272727273,0.318181818181818,0.318181818181818,1.95454545454545,0.363636363636364,1,0.636363636363636,0,0,0,0,1
74,"WC-1966","T-72","Soviet Union","Group 4",3,3,0,0,6,1,5,6,1,"UEFA","Europe, Asia",1966,2,22,26.2272727272727,0.318181818181818,0.272727272727273,1.86363636363636,0.5,2,0.590909090909091,0,0,0,0,0
75,"WC-1966","T-51","North Korea","Group 4",3,1,1,1,2,4,-2,3,1,"AFC","East Asia",1966,0,22,22.8636363636364,0.272727272727273,0.318181818181818,1,0,0,1,0,0,0,0,0
76,"WC-1966","T-41","Italy","Group 4",3,1,0,2,2,2,0,2,0,"UEFA","Europe",1966,3,22,25.8636363636364,0.272727272727273,0.318181818181818,1.86363636363636,0.272727272727273,1,0.727272727272727,0,0,0,0,0
